NOC2L
ISG15
SDF4
AURKAIP1
CCNL2
SSU72
SLC35E2B
NADK
SKI
TNFRSF14
TPRG1L
WRAP73
LRRC47
CEP104
C1ORF174
ICMT
ACOT7
PARK7
ENO1
H6PD
SLC25A33
CLSTN1
CTNNBIP1
LZIC
UBE4B
KIF1B
PGD
DFFA
SRM
EXOSC10
FBXO44
FBXO6
AGTRAP
MTHFR
KIAA2013
PLOD1
MIIP
PRDM2
EFHD2
CASP9
DDI2
PLEKHM2
SPEN
FBXO42
NECAP2
SDHB
RCC2
UBR4
MRTO4
AKR7A2
MUL1
EIF4G3
USP48
CDC42
KDM1A
LUZP1
HNRNPR
PITHD1
LYPLA2
GALE
HMGCL
FUCA1
SRRM1
RUNX3
SYF2
STMN1
ZNF593
SH3BGRL3
CD52
ARID1A
NUDC
SLC9A1
TMEM222
SYTL1
WASF2
AHDC1
FGR
IFI6
STX12
SESN2
RCC1
TRNAU1AP
TAF12
GMEB1
YTHDF2
MECR
LAPTM5
SNRNP40
ZCCHC17
KHDRBS1
TMEM39B
KPNA6
TXLNA
CCDC28B
TMEM234
EIF3I
HDAC1
MARCKSL1
BSDC1
RNF19B
AK2
KIAA0319L
PSMB2
TRAPPC3
MAP7D1
THRAP3
STK40
LSM10
ZC3H12A
GNL2
C1ORF122
MTF1
RRAGC
MYCBP
AKIRIN1
NDUFS5
MACF1
PPIE
PPT1
RLF
ZMPSTE24
SMAP2
NFYC
FOXJ3
PPCS
PPIH
YBX1
EBNA1BP2
MED8
ST3GAL3
ATP6V0B
DMAP1
ERI3
RNF220
TMEM53
PLK3
PRDX1
AKR1A1
GPBP1L1
TMEM69
POMGNT1
LRRC41
UQCRH
CMPK1
CDKN2C
RNF11
EPS15
OSBPL9
TXNDC12
BTF3L4
PRPF38A
GPX7
ZYG11B
ECHDC2
SCP2
MAGOH
YIPF1
LRRC42
TMEM59
SSBP3
JUN
TM2D1
USP1
ITGB3BP
PDE4B
MIER1
SERBP1
GADD45A
SRSF11
ANKRD13C
ZRANB2
CRYZ
TYW3
PIGK
FUBP1
IFI44L
GNG5
CTBS
C1ORF52
BCL10
ZNHIT6
ODF2L
SH3GLB1
HS2ST1
PKN2
GBP2
ZNF326
ZNF644
MTF2
TMED5
DR1
GCLM
ALG14
AGL
DBT
EXTL2
SLC30A7
DPH5
RNPC3
SLC25A24
PRPF38B
STXBP3
TAF13
TMEM167B
GNAI3
AMPD2
GSTM4
GSTM3
AHCYL1
CD53
CEPT1
WDR77
C1ORF162
RAP1A
CAPZA1
MOV10
SLC16A1
PHTF1
RSBN1
HIPK1
TRIM33
BCAS2
NRAS
CSDE1
ATP1A1
CD58
MAN1A2
WDR3
PHGDH
NOTCH2
GPR89A
PIAS3
PEX11B
POLR3GL
CHD1L
BOLA1
SF3B4
VPS45
PLEKHO1
ANP32E
APH1A
PRPF3
TARS2
MCL1
ENSA
GOLPH3L
CTSS
ARNT
CERS2
CDC42SE1
MLLT11
SCNM1
VPS72
PIP5K1A
PI4KB
RFX5
PSMB4
POGZ
THEM4
S100A11
S100A9
S100A6
S100A4
S100A13
CHTOP
ILF2
INTS3
SLC27A3
GATAD2B
SLC39A1
CREB3L4
JTB
RAB13
C1ORF43
IL6R
UBE2Q1
PMVK
PBXIP1
PYGO2
FLAD1
SLC50A1
DPM3
FDPS
GON4L
UBQLN4
SLC25A44
SMG5
MEF2D
GPATCH4
ISG20L2
HDGF
PRCC
ETV3
MNDA
DUSP23
TAGLN2
IGSF8
PEA15
PEX19
COPA
TSTD1
ARHGAP30
PFDN2
NDUFS2
SDHC
DUSP12
ATF6
UHMK1
UAP1
HSD17B7
MGST3
TMCO1
UCK2
POGK
POU2F1
CREG1
RCSD1
MPZL1
TIPRL
SFT2D2
ATP1B1
NME7
BLZF1
KIFAP3
PRRC2C
VAMP4
PIGC
PRDX6
KLHL20
CENPL
CACYBP
SOAT1
TOR1AIP2
QSOX1
IER5
ARPC5
TSEN15
C1ORF21
EDEM3
RNF2
TPR
RGS2
UCHL5
GLRX2
CDC73
DENND1B
PTPRC
ZNF281
DDX59
TMEM9
CSRP1
IPO9
TIMM17A
RNPEP
ARL8A
UBE2T
PPP1R12B
RABIF
KLHL12
ADIPOR1
CYB5R1
TMEM183A
BTG2
ATP2B4
SNRPE
PPP1R15B
RBBP5
DSTYK
ELK4
NUCKS1
MAPKAPK2
CD55
CD46
RCOR3
TRAF5
SLC30A1
LPGAT1
PPP2R5A
NENF
NSL1
ANGEL2
SMYD2
CENPF
GPATCH2
RRP15
LYPLAL1
BPNT1
IARS2
DUSP10
BROX
TP53BP2
DEGS1
NVL
TMEM63A
ACBD3
ITPKB
SNAP47
JMJD4
ARF1
C1ORF35
GUK1
TRIM11
RNF187
RHOU
RAB4A
GALNT2
COG2
ARV1
C1ORF131
EGLN1
NTPCR
IRF2BP2
TOMM20
ARID4B
HEATR1
MTR
FH
CEP170
SDCCAG8
COX20
TFB2M
CNST
SCCPDH
ZNF669
ZNF672
TMEM18
ADI1
RNASEH1
ID2
KIDINS220
IAH1
YWHAQ
KLF11
HPCAL1
NOL10
PDIA6
ROCK2
E2F6
LPIN1
NBAS
DDX1
TTC32
LAPTM4A
RHOB
UBXN2A
NCOA1
ADCY3
DNMT3A
ASXL2
RAB10
HADHA
HADHB
OST4
PREB
EIF2B4
PPM1G
NRBP1
KRTCAP3
SLC4A1AP
FOSL2
TRMT61B
YPEL5
YIPF4
BIRC6
FAM98A
STRN
EIF2AK2
CEBPZ
CDC42EP3
ATL2
GALM
SRSF7
GEMIN6
DHX57
MORN2
THUMPD2
EML4
DYNC2LI1
PPM1B
PREPL
CAMKMT
PIGF
CRIPT
MCFD2
MSH2
MSH6
FBXO11
FOXN2
ERLEC1
ACYP2
SPTBN1
RTN4
MTIF2
PNPT1
VRK2
FANCL
REL
PEX13
XPO1
COMMD1
MDH1
PELI1
AFTPH
SERTAD2
CEP68
RAB1A
PNO1
PLEK
GFPT1
ANXA4
GMCL1
PCBP1
PCYOX1
FAM136A
NAGK
MCEE
MPHOSPH10
ZNF638
PRADC1
TPRKB
DUSP11
STAMBP
BOLA3
MTHFD2
DCTN1
RTKN
DOK1
POLE4
TMSB10
KCMF1
TGOLN2
CAPG
MAT2A
GGCX
VAMP8
VAMP5
RNF181
C2ORF68
KDM3A
CHMP3
KRCC1
ZNF514
FAHD2A
DUSP2
STARD7
TMEM127
CIAO1
SNRNP200
ARID5A
KANSL3
LMAN2L
FAHD2B
COX5B
ACTR1B
TMEM131
INPP4A
COA5
UNC50
MGAT4A
MITD1
TXNDC9
EIF5B
REV1
PDCL3
RNF149
MAP4K4
C2ORF49
NCK2
UXS1
GCC2
LIMS1
RANBP2
ANAPC1
ZC3H8
CHCHD5
ACTR3
DDX18
INSIG2
C2ORF76
PTPN4
TSN
MAP3K2
WDR33
POLR2D
AMMECR1L
UGGT1
MZT2B
CCDC115
FAM168B
PLEKHB2
MZT2A
MGAT5
CCNT2
RAB3GAP1
UBXN4
CXCR4
EPC2
MMADHC
NMI
RIF1
PRPF40A
CYTIP
TANK
PSMD14
GCA
GALNT3
CERS6
METTL5
UBR3
METTL8
HAT1
ITGA6
SP3
OLA1
CIR1
WIPF1
ATF2
MTX2
HNRNPA3
AGPS
PRKRA
PLEKHA3
CWC22
UBE2E3
WDR75
SLC40A1
ASNSD1
ORMDL1
HIBCH
INPP1
STK17B
GTF3C3
ANKRD44
SF3B1
COQ10B
C2ORF69
TYW5
BZW1
CLK1
ORC2
NDUFB3
CFLAR
SUMO1
NOP58
NBEAL1
INO80D
NDUFS1
EEF1B2
FASTKD2
CCNYL1
IDH1
PIKFYVE
LANCL1
ATIC
XRCC5
ARPC2
AAMP
PNKD
SLC11A1
CTDSP1
ZFAND2B
TUBA4A
DNPEP
GMPPA
FARSB
WDFY1
CUL3
AGFG1
SP100
CAB39
ITM2C
PSMD1
NCL
PDE6D
COPS7B
DIS3L2
GIGYF2
ARL4C
LRRFIP1
ASB1
THAP4
ATG4B
DTYMK
D2HGDH
SUMF1
ARL8B
EDEM1
SETD5
TADA3
JAGN1
CRELD1
VHL
SEC13
ATG7
MKRN2
IQSEC1
TMEM43
LSM3
SLC6A6
CAPN7
EAF1
DPH3
TBC1D5
UBE2E2
UBE2E1
NKIRAS1
NR1D2
TOP2B
NGLY1
SLC4A7
AZI2
TGFBR2
CMTM7
CMTM6
DYNC1LI1
CNOT10
CRTAP
UBP1
EPM2AIP1
MLH1
GOLGA4
MYD88
OXSR1
WDR48
CSRNP1
SLC25A38
EIF1B
TRAK1
SS18L2
SNRK
ABHD5
KIAA1143
ZDHHC3
LIMD1
CCDC12
SETD2
KIF9
KLHL18
SCAP
SMARCC1
DHX30
NME6
SHISA5
UQCRC1
IP6K2
PRKAR2A
ARIH2
WDR6
DALRD3
NDUFAF3
RHOA
TCTA
IP6K1
RBM5
IFRD2
HYAL2
TUSC2
RASSF1
TMEM115
MAPKAPK3
MANF
RAD54L2
ABHD14B
DUSP7
ALAS1
PBRM1
GNL3
GLT8D1
PRKCD
TKT
ARHGEF3
PDE12
ARF4
FLNB
PDHB
PSMD6
SLC25A26
SUCLG2
TMF1
FOXP1
RYBP
PPP4R2
GBE1
CHMP2B
CGGBP1
C3ORF38
ARL13B
TBC1D23
TFG
ZBTB11
ALCAM
CBLB
CD47
IFT57
DZIP3
ATG3
SLC35A5
GTPBP8
NAA50
ATP6V1A
ZBTB20
B4GALT4
TMEM39A
POGLUT1
TIMMDC1
COX17
GSK3B
LRRC58
NDUFB4
HCLS1
GOLGB1
FAM162A
PARP9
PARP14
PDIA5
ZNF148
SNX4
TPRA1
SEC61A1
RUVBL1
EEFSEC
CNBP
MBD4
PLXND1
ATP2C1
NUDT16
UBA5
CDV3
SRPRB
ANAPC13
PCCB
STAG1
FAIM
SLC25A36
ZBTB38
RNF7
PLSCR1
GYG1
HLTF
COMMD2
TSC22D2
SERP1
EIF2A
SIAH2
MBNL1
RAP2B
DHX36
GMPS
TIPARP
CCNL1
RSRC1
LXN
SMC4
KPNA4
NMD3
GOLIM4
SEC62
GPR160
PRKCI
FNDC3B
ZMAT3
PIK3CA
ZNF639
MFN1
GNB4
ACTL6A
TTC14
KLHL24
YEATS2
PARL
ABCC5
MAGEF1
TMEM41A
TRA2B
EIF4A2
ST6GAL1
BCL6
CCDC50
ATP13A3
FAM43A
PPP1R2
TNK2
PCYT1A
UBXN7
RNF168
PAK2
SENP5
NCBP2
FYTTD1
ZNF721
PCGF3
MAEA
SLBP
TMEM129
MXD4
TNIP2
SH3BP2
LRPAP1
TMEM128
LYAR
MRFAP1
MRFAP1L1
TBC1D14
GRPEL1
RAB28
FBXL5
QDPR
MED28
DCAF16
LCORL
DHX15
ANAPC4
STIM2
KLF3
KLHL5
UBE2K
PDS5A
N4BP2
SLC30A9
COMMD8
SLAIN2
FRYL
CHIC2
SRD5A3
CLOCK
EXOC1
CEP135
PPAT
PAICS
SRP72
REST
NOA1
POLR2B
UBA6
YTHDC1
UTP3
RUFY3
GRSF1
DCK
ANKRD17
MTHFD2L
RCHY1
USO1
NAAA
SCARB2
CCNI
