STK3
SCAMP2
MED28
POLK
NUDT16L1
RASA1
TOMM7
BOLA3
STAM
ZC3H13
RCC1
KIF2A
XRCC4
AFTPH
NUDT2
SLC35A4
MAFG
RANBP9
UBP1
PEX2
THUMPD1
ARHGAP5
MSH6
NADK
DNAAF2
NMD3
UNK
UQCR10
TNFAIP8
GZF1
UQCRB
BCKDK
SLC39A13
BLMH
SLC39A8
SWI5
GAR1
HMGN1
SRSF5
PHPT1
GTF2F1
CIAO1
NSMCE4A
WDR5
VCP
RHBDD2
NUDCD2
TMEM184C
SVIP
SRP72
ASAH1
NTAN1
KIAA0930
FDX1
PURA
PIM3
USP8
PNPT1
CCNT1
MAP4K4
IDH3G
KLF10
HIPK2
NRBP1
RNASEH2B
FBXO3
EEF1B2
PLA2G15
SNN
PRPF38B
GTF3C4
DUSP11
ARFGEF1
GNL2
PSMB4
PPIE
FBXO8
STK17B
DCLRE1C
CCDC25
RAP2C
DAD1
NADSYN1
MARCKSL1
IBTK
RSPRY1
CSNK2A2
NDUFAF3
BAZ1B
CD46
SGPL1
LIG3
ARHGAP35
ZDHHC7
STK40
TIFA
ZNF426
PTPN1
SERTAD3
SNAPC5
OAS3
RRBP1
LIN7C
SOD1
UBR5
PLEKHA1
ATP2A2
SEPHS1
GSTO1
CASD1
GLRX2
DHX57
DALRD3
UBE2H
ZNF322
NAA25
MIER1
IAH1
TIMP1
ETF1
STMN1
GSN
TULP4
CALU
SPTLC2
SPG21
UBL5
CRTAP
COX15
LDLR
PRPS1
ALCAM
RAB5C
OPTN
PHKB
DSE
BCL10
CDC42SE2
PPP6C
NOSIP
KLHL18
KCTD12
CDC123
CYSLTR1
FYTTD1
PKN2
CASC3
PIEZO1
CPEB4
EHMT2
RWDD1
MTHFD1
PRKCSH
SLC17A5
ATP13A3
FNBP1
GAPDH
PTPRE
PDXDC1
SLC25A37
COPA
TIMMDC1
STK11
MZF1
EDEM1
NUDCD1
GPATCH1
AP3M2
RDH11
FGFR1OP2
MYO5A
PBX2
METTL17
GFM2
MPP1
DDX50
YIPF2
EXT2
MRI1
UCHL5
CD58
ANP32E
ZBTB25
HNRNPAB
SHARPIN
DNTTIP1
KLHL5
TXLNG
NINJ2
CNP
SLC9A1
NUDT5
KEAP1
PTGER4
BAZ2A
PFN1
ELOF1
WASF2
CORO1B
MFHAS1
GPR183
XPNPEP3
USP7
CREB3L2
HNRNPA1
DYNLT1
WWC3
SLC35E3
GMCL1
PAIP1
CTDSP1
TK1
GTF3A
FAM50A
ALKBH5
APEX1
DUSP3
LZIC
ROMO1
FAHD2B
NUDT15
COX6B1
KIF1B
SURF4
RIOK3
URI1
ATL3
CISD1
NARS2
AK3
DENR
CREBBP
WDR73
OGFR
EIF4EBP1
KANSL3
ANKRD13D
DSTN
CEPT1
STK17A
SLC31A1
PYCR1
GUK1
TBC1D22A
SNX12
GTF3C5
BCL2L1
YIPF6
STK4
MPHOSPH8
RASSF3
MBD4
MLX
GPAA1
KLF3
DSTYK
UBE2K
PEA15
HAUS2
SLC43A3
FLNB
TLE3
PRPF31
KLHDC10
MBD3
SNAPC3
DDX23
FSCN1
ARHGAP30
CBX5
RNF220
FAM136A
USP16
OGFRL1
CCDC57
PDCD4
CMC2
INPP4A
CNOT1
SPTBN1
OTUD5
UBAP2
LAGE3
KPNA6
USP9X
RASA3
UBB
PPP1R16A
BNIP3
FTSJ1
RTF1
SERPINB6
CASP4
SGTA
TCHP
TMEM97
TFG
PSPH
LAPTM4A
AKT1
STAT3
TRIP4
POLE3
GPBP1
UXT
POLR2C
ROGDI
ROCK1
DOLPP1
RAB11FIP2
RXRA
CHORDC1
CBR4
PIGK
DDA1
PM20D2
SUGT1
GPN3
CTNNAL1
NDUFB4
CALHM2
BAZ1A
DYNLL1
B4GALT4
LSM7
ARL16
NFKBIA
CCDC137
GTPBP8
UNC45A
CREBZF
TIPIN
HSF1
KLC4
CRNKL1
FRS2
SH2B1
RELT
PRADC1
MZT2A
ZNF37A
CD320
YIPF1
TRIAP1
SLC25A17
SPINT2
COPS7A
PPP6R3
SLC25A3
ERAP2
PGM2L1
ATP6V1G1
CREB3L4
PLP2
SAT2
SLC16A1
CHD1
HCFC1
GEMIN8
LSM1
FLOT1
MDK
SMPD1
STXBP3
GNB4
EPSTI1
IRF7
BACE1
DRG1
ENSA
PTPN11
MCM7
GLRX5
ELMO1
LUZP1
SUMF1
FAM110A
MFSD11
DHRS4L2
NGLY1
ZNF672
MIB1
ALAD
COX16
BTN3A2
PNO1
SMAD3
SUCLG2
GOPC
POLR1C
TIMM17A
PUS3
SMARCD1
MT1F
BUB3
PLOD3
MAP3K1
TSPAN17
HMGA1
ETV6
IL32
SCNM1
HPS1
FAM162A
SCCPDH
PARVB
RBM10
IFITM2
ATG7
ERH
ZNF644
POLR3K
EIF4EBP2
CLIC2
DNASE1
PIKFYVE
CENPB
CRKL
NIPSNAP3A
TTC19
COQ9
LONP2
TMEM128
ZNF480
SEC62
KIF3B
GNAS
MLLT10
TARS2
UBE4A
STX7
WDR18
CHRAC1
SEH1L
GOLPH3L
MPST
NDUFB11
RCOR3
ARID5B
EIF2S1
TFB2M
CNBP
METTL4
GFOD2
TM9SF2
FDPS
LSM10
ZDHHC17
CDK5RAP2
PDCL3
ARMCX3
LDHB
BLZF1
MAN1A1
SCD5
TAPBPL
FLYWCH1
STOM
TOR1AIP2
DDAH2
CGRRF1
TRABD
FBXO22
SLC25A5
TAF10
UHRF2
IPO9
NAAA
NDUFA1
PEBP1
RFNG
AIMP1
MED8
EIF5
G2E3
AKR1A1
ARMCX1
TMEM170A
MYADM
TMEM53
AIFM1
RANBP3
PHF20L1
SLC35B2
ATAD1
UBA1
CENPF
DCP2
EIF3J
KBTBD7
PNRC1
AK2
UQCRQ
NAGA
WIPI2
TNIP1
NAA35
ASCC2
NQO2
ECI2
MVD
TRMT6
RUFY3
AGTPBP1
ANAPC13
PPM1D
CRLF3
STRAP
DTYMK
RXRB
PTPRN2
RCBTB2
MCL1
VEZF1
ANKRD42
LPCAT4
COX5B
ZMPSTE24
COG7
HEATR1
CLUAP1
TAOK1
TES
STX11
INPP1
STK38
VTA1
CCDC86
INO80
GXYLT1
CLK3
TRPC4AP
TSPYL4
RNPC3
NFATC2
PAFAH1B2
ELAVL1
CAMKMT
PPCS
TRAK1
UBQLN4
CHMP6
IRF2BP2
